date,mode,pcs
1983-05-19,1,5738.6753
1983-05-19,2,3635.496
1983-05-19,3,-2325.2034
1983-05-19,4,210.53813
1983-05-19,5,-355.8422
1983-05-19,6,1122.2097
1983-05-19,7,-890.4733
1983-05-19,8,-1482.4744
1983-05-19,9,-95.60928
1983-05-20,0,3682.1858
1983-05-20,1,2277.217
1983-05-20,2,6410.135
1983-05-20,3,-1098.4991
1983-05-20,4,-2437.1204
1983-05-20,5,0.5628601
1983-05-20,6,1497.8265
1983-05-20,7,-1694.2307
1983-05-20,8,-227.13945
1983-05-20,9,46.247025
1983-05-21,0,2915.317
1983-05-21,1,1193.8198
1983-05-21,2,1914.3536
1983-05-21,3,1060.9067
1983-05-21,4,-866.9435
1983-05-21,5,-935.4071
1983-05-21,6,1128.4612
1983-05-21,7,-1675.8593
1983-05-21,8,-3512.653
1983-05-21,9,1523.4875
1983-05-22,0,-251.26457
1983-05-22,1,2922.7676
1983-05-22,2,2300.5916
1983-05-22,3,-536.34204
1983-05-22,4,154.36455
1983-05-22,5,503.65573
1983-05-22,6,-193.88948
1983-05-22,7,-422.73996
1983-05-22,8,-1662.4893
1983-05-22,9,-929.6784
1983-05-23,0,-2651.3115
1983-05-23,1,-1762.1643
1983-05-23,2,3217.8062
1983-05-23,3,-584.8722
1983-05-23,4,-2221.3403
1983-05-23,5,1945.6793
1983-05-23,6,-302.4258
1983-05-23,7,-1478.0227
1983-05-23,8,-385.3015
1983-05-23,9,-156.94717
1983-05-24,0,-2329.322
1983-05-24,1,-2707.971
1983-05-24,2,146.64687
1983-05-24,3,2036.3198
1983-05-24,4,-396.24487
1983-05-24,5,1786.725
1983-05-24,6,807.5939
1983-05-24,7,-537.7172
1983-05-24,8,-520.0158
1983-05-24,9,-50.39252
1983-05-25,0,610.84625
1983-05-25,1,-2124.7534
1983-05-25,2,-321.23248
1983-05-25,3,-187.07825
1983-05-25,4,-705.9718
1983-05-25,5,988.1259
1983-05-25,6,-306.28705
1983-05-25,7,1118.8635
1983-05-25,8,1366.5631
1983-05-25,9,-606.622
1983-05-26,0,-46.729626
1983-05-26,1,-1719.7318
1983-05-26,2,-2352.9924
1983-05-26,3,193.1752
1983-05-26,4,-759.0512
1983-05-26,5,1326.6276
1983-05-26,6,1555.1636
1983-05-26,7,-1088.1404
1983-05-26,8,-417.7593
1983-05-26,9,3.2331657
1983-05-27,0,-799.29474
1983-05-27,1,808.7346
1983-05-27,2,-2775.904
1983-05-27,3,167.61699
1983-05-27,4,87.35434
1983-05-27,5,3316.4084
1983-05-27,6,1351.0939
1983-05-27,7,524.5098
1983-05-27,8,-805.17645
1983-05-27,9,-517.69696
1983-05-28,0,908.74835
1983-05-28,1,124.96551
1983-05-28,2,-1093.8292
1983-05-28,3,-1260.3285
1983-05-28,4,-1480.4141
1983-05-28,5,2921.9998
1983-05-28,6,368.16666
1983-05-28,7,2507.438
1983-05-28,8,-817.3695
1983-05-28,9,-1610.1517
1983-05-29,0,1261.7618
1983-05-29,1,-2220.5999
1983-05-29,2,1928.5991
1983-05-29,3,-1422.9902
1983-05-29,4,-2313.193
1983-05-29,5,2402.6206
1983-05-29,6,-1188.5778
1983-05-29,7,1402.0029
1983-05-29,8,-242.86368
1983-05-29,9,-224.09106
1983-05-30,0,-2306.5916
1983-05-30,1,-3359.067
1983-05-30,2,1064.9774
1983-05-30,3,-1867.0243
1983-05-30,4,-2394.3765
1983-05-30,5,2359.1455
1983-05-30,6,-1260.3563
1983-05-30,7,-1375.8899
1983-05-30,8,1721.4026
1983-05-30,9,-485.0515
1983-05-31,0,-6084.682
1983-05-31,1,-3551.4387
1983-05-31,2,333.30832
1983-05-31,3,-3808.0964
1983-05-31,4,-2544.2039
1983-05-31,5,1618.6138
1983-05-31,6,1780.3518
1983-05-31,7,170.07722
1983-05-31,8,2216.127
1983-05-31,9,25.83635
1983-06-01,0,-7081.216
1983-06-01,1,-2495.7195
1983-06-01,2,-2779.6255
1983-06-01,3,8.45265
1983-06-01,4,-2151.4202
1983-06-01,5,1835.4084
1983-06-01,6,3095.3594
1983-06-01,7,-598.40314
1983-06-01,8,1171.2369
1983-06-01,9,-119.22861
1984-05-17,0,5066.9287
1984-05-17,1,2015.2263
1984-05-17,2,-1808.376
1984-05-17,3,2235.106
1984-05-17,4,3958.385
1984-05-17,5,1197.7449
