date,mode,pcs,tor
1987-05-18,1,236.63445,True
1987-05-18,2,-79.49013,True
1987-05-18,3,-117.32721,True
1987-05-18,4,330.01666,True
1987-05-18,5,-176.68684,True
1987-05-18,6,-125.623856,True
1987-05-18,7,339.15436,True
1987-05-18,8,-232.61792,True
1987-05-18,9,-12.102965,True
1987-05-19,0,-273.5041,True
1987-05-19,1,551.74817,True
1987-05-19,2,-88.574265,True
1987-05-19,3,-149.74808,True
1987-05-19,4,183.63849,True
1987-05-19,5,-120.17753,True
1987-05-19,6,-67.653564,True
1987-05-19,7,413.66318,True
1987-05-19,8,-226.7301,True
1987-05-19,9,165.67584,True
1987-05-20,0,-584.20526,False
1987-05-20,1,650.82556,False
1987-05-20,2,-0.6444102,False
1987-05-20,3,-379.25262,False
1987-05-20,4,105.46007,False
1987-05-20,5,-259.8423,False
1987-05-20,6,106.031235,False
1987-05-20,7,294.75323,False
1987-05-20,8,-219.95628,False
1987-05-20,9,231.34813,False
1987-05-21,0,-847.4545,False
1987-05-21,1,586.8884,False
1987-05-21,2,47.201397,False
1987-05-21,3,-451.03867,False
1987-05-21,4,42.076046,False
1987-05-21,5,-254.77084,False
1987-05-21,6,125.460945,False
1987-05-21,7,130.37018,False
1987-05-21,8,-267.84885,False
1987-05-21,9,215.68054,False
1987-05-22,0,-970.3135,False
1987-05-22,1,216.1021,False
1987-05-22,2,139.23442,False
1987-05-22,3,-119.507164,False
1987-05-22,4,50.60081,False
1987-05-22,5,-341.11475,False
1987-05-22,6,145.37982,False
1987-05-22,7,129.99403,False
1987-05-22,8,-145.0292,False
1987-05-22,9,265.85126,False
1987-05-23,0,-875.11523,False
1987-05-23,1,43.162678,False
1987-05-23,2,-42.19343,False
1987-05-23,3,79.412926,False
1987-05-23,4,261.8035,False
1987-05-23,5,-349.0618,False
1987-05-23,6,80.556694,False
1987-05-23,7,134.61658,False
1987-05-23,8,-77.11075,False
1987-05-23,9,200.4179,False
1987-05-24,0,-727.6285,True
1987-05-24,1,40.24068,True
1987-05-24,2,-31.84142,True
1987-05-24,3,-39.77159,True
1987-05-24,4,205.56847,True
1987-05-24,5,-274.54645,True
1987-05-24,6,-27.582619,True
1987-05-24,7,120.747894,True
1987-05-24,8,-62.326893,True
1987-05-24,9,135.9339,True
1987-05-25,0,-712.49817,True
1987-05-25,1,268.17032,True
1987-05-25,2,83.95704,True
1987-05-25,3,-176.10669,True
1987-05-25,4,128.31143,True
1987-05-25,5,-324.88486,True
1987-05-25,6,-141.09839,True
1987-05-25,7,72.296585,True
1987-05-25,8,-161.85597,True
1987-05-25,9,-75.14004,True
1987-05-26,0,-918.4074,True
1987-05-26,1,590.5189,True
1987-05-26,2,233.46678,True
1987-05-26,3,-375.67953,True
1987-05-26,4,155.51599,True
1987-05-26,5,-367.80304,True
1987-05-26,6,44.85423,True
1987-05-26,7,-18.247995,True
1987-05-26,8,-85.28015,True
1987-05-26,9,-72.16753,True
1987-05-27,0,-1017.623,True
1987-05-27,1,445.58844,True
1987-05-27,2,274.4811,True
1987-05-27,3,-395.8988,True
1987-05-27,4,149.76755,True
1987-05-27,5,-236.66135,True
1987-05-27,6,106.78314,True
1987-05-27,7,4.277867,True
1987-05-27,8,-14.9014015,True
1987-05-27,9,81.24938,True
1987-05-28,0,-1052.4409,True
1987-05-28,1,271.96887,True
1987-05-28,2,272.968,True
1987-05-28,3,-382.70538,True
1987-05-28,4,77.145294,True
1987-05-28,5,-31.171091,True
1987-05-28,6,36.17599,True
1987-05-28,7,41.292313,True
1987-05-28,8,-126.26839,True
1987-05-28,9,136.07182,True
1987-05-29,0,-949.56024,True
1987-05-29,1,45.139954,True
1987-05-29,2,180.95435,True
1987-05-29,3,-235.65242,True
1987-05-29,4,42.783367,True
1987-05-29,5,-19.705511,True
1987-05-29,6,-39.135593,True
1987-05-29,7,92.45106,True
1987-05-29,8,-159.69255,True
1987-05-29,9,200.52443,True
1987-05-30,0,-889.6558,True
1987-05-30,1,-80.01069,True
1987-05-30,2,113.15343,True
1987-05-30,3,-128.33653,True
1987-05-30,4,5.910303,True
1987-05-30,5,-74.60399,True
1987-05-30,6,-144.10294,True
1987-05-30,7,41.32339,True
1987-05-30,8,-133.66638,True
1987-05-30,9,186.96283,True
1987-05-31,0,-719.84906,True
1987-05-31,1,-43.887962,True
1987-05-31,2,16.978727,True
1987-05-31,3,171.45972,True
1987-05-31,4,-240.14644,True
1987-05-31,5,-1.4270393,True
1987-05-31,6,-367.12708,True
1987-05-31,7,195.24185,True
1987-05-31,8,-92.59162,True
1987-05-31,9,384.1817,True
1988-05-17,0,292.17557,False
1988-05-17,1,398.29272,False
1988-05-17,2,-400.59717,False
1988-05-17,3,327.1289,False
1988-05-17,4,-383.23944,False
1988-05-17,5,-379.2315,False
1988-05-17,6,-114.62521,False
1988-05-17,7,114.7114,False
1988-05-17,8,-54.808254,False
1988-05-17,9,103.38578,False
1988-05-18,0,-151.07713,False
1988-05-18,1,434.6043,False
1988-05-18,2,-285.83124,False
1988-05-18,3,-193.53441,False
1988-05-18,4,-392.7707,False
1988-05-18,5,-152.01917,False
1988-05-18,6,-7.0962324,False
1988-05-18,7,250.5433,False
1988-05-18,8,332.73132,False
1988-05-18,9,70.35039,False
1988-05-19,0,-400.85056,True
1988-05-19,1,126.51525,True
1988-05-19,2,-75.79545,True
1988-05-19,3,-524.0279,True
1988-05-19,4,-557.1658,True
1988-05-19,5,9.484694,True
1988-05-19,6,117.26775,True
1988-05-19,7,192.15489,True
1988-05-19,8,337.86554,True
1988-05-19,9,85.877686,True
1988-05-20,0,-267.64066,True
1988-05-20,1,-136.68091,True
1988-05-20,2,109.230865,True
1988-05-20,3,-648.5406,True
1988-05-20,4,-509.02347,True
1988-05-20,5,-43.097786,True
1988-05-20,6,42.910988,True
1988-05-20,7,97.15079,True
1988-05-20,8,261.01273,True
1988-05-20,9,125.233406,True
1988-05-21,0,-144.3282,False
1988-05-21,1,-397.6351,False
1988-05-21,2,160.17369,False
1988-05-21,3,-558.5435,False
1988-05-21,4,-343.9413,False
1988-05-21,5,-54.572094,False
1988-05-21,6,-21.279827,False
1988-05-21,7,41.27973,False
1988-05-21,8,139.65448,False
1988-05-21,9,104.01872,False
1988-05-22,0,10.687692,False
1988-05-22,1,-591.6984,False
1988-05-22,2,78.27352,False
1988-05-22,3,-464.74796,False
1988-05-22,4,-253.79044,False
1988-05-22,5,-93.572525,False
1988-05-22,6,-163.64061,False
1988-05-22,7,-92.8594,False
1988-05-22,8,-186.94223,False
1988-05-22,9,5.839682,False
1988-05-23,0,-29.024778,False
1988-05-23,1,-331.22958,False
1988-05-23,2,-127.50885,False
1988-05-23,3,-322.13898,False
1988-05-23,4,-279.947,False
1988-05-23,5,-244.83769,False
1988-05-23,6,-498.1265,False
1988-05-23,7,-35.615116,False
1988-05-23,8,-267.47238,False
1988-05-23,9,57.488964,False
1988-05-24,0,352.52524,False
1988-05-24,1,-146.23973,False
1988-05-24,2,-96.82462,False
1988-05-24,3,-55.811897,False
1988-05-24,4,-42.517982,False
1988-05-24,5,-341.47272,False
1988-05-24,6,-466.27908,False
1988-05-24,7,132.95496,False
1988-05-24,8,16.20211,False
1988-05-24,9,-138.94312,False
1988-05-25,0,562.71765,False
1988-05-25,1,-45.654137,False
1988-05-25,2,-289.84833,False
1988-05-25,3,34.094376,False
1988-05-25,4,12.4433565,False
1988-05-25,5,-208.479,False
1988-05-25,6,-295.57526,False
1988-05-25,7,106.45946,False
1988-05-25,8,144.26683,False
1988-05-25,9,-106.71004,False
1988-05-26,0,485.81226,False
1988-05-26,1,-125.71049,False
1988-05-26,2,-565.92896,False
1988-05-26,3,-19.986483,False
1988-05-26,4,-191.88098,False
1988-05-26,5,7.7999473,False
1988-05-26,6,-142.41357,False
1988-05-26,7,56.844482,False
1988-05-26,8,155.45247,False
1988-05-26,9,-122.259735,False
1988-05-27,0,38.925144,False
1988-05-27,1,-15.582182,False
1988-05-27,2,-429.80847,False
1988-05-27,3,178.43205,False
1988-05-27,4,-60.56872,False
1988-05-27,5,67.769,False
