date,mode,pcs
1985-05-20,2,308.1907
1985-05-20,3,-194.57759
1985-05-20,4,199.13849
1985-05-21,0,437.55435
1985-05-21,1,-68.19428
1985-05-21,2,331.08795
1985-05-21,3,-56.258495
1985-05-21,4,193.19838
1985-05-22,0,274.90262
1985-05-22,1,-380.9539
1985-05-22,2,-37.09335
1985-05-22,3,-231.22702
1985-05-22,4,214.88222
1985-05-23,0,233.56148
1985-05-23,1,-435.6831
1985-05-23,2,-142.05649
1985-05-23,3,-195.52785
1985-05-23,4,153.00394
1985-05-24,0,339.43884
1985-05-24,1,-369.77927
1985-05-24,2,-374.9236
1985-05-24,3,-120.53151
1985-05-24,4,52.251907
1985-05-25,0,380.52884
1985-05-25,1,-192.215
1985-05-25,2,-377.13626
1985-05-25,3,-47.04625
1985-05-25,4,-84.558266
1985-05-26,0,458.8771
1985-05-26,1,201.9419
1985-05-26,2,-275.41733
1985-05-26,3,-37.83928
1985-05-26,4,-10.995366
1985-05-27,0,234.70761
1985-05-27,1,311.89233
1985-05-27,2,-2.484272
1985-05-27,3,57.040936
1985-05-27,4,27.662825
1985-05-28,0,200.71758
1985-05-28,1,381.43576
1985-05-28,2,-56.27754
1985-05-28,3,282.02744
1985-05-28,4,-41.457104
1985-05-29,0,157.16446
1985-05-29,1,561.3269
1985-05-29,2,-183.95227
1985-05-29,3,364.33557
1985-05-29,4,-6.626348
1985-05-30,0,-43.25145
1985-05-30,1,506.8068
1985-05-30,2,2.9385958
1985-05-30,3,136.06451
1985-05-30,4,-7.8136325
1985-05-31,0,-58.028767
1985-05-31,1,482.53998
1985-05-31,2,273.80737
1985-05-31,3,146.26945
1985-05-31,4,111.85831
1985-06-01,0,130.179
1985-06-01,1,533.6036
1985-06-01,2,336.74005
1985-06-01,3,373.44458
1985-06-01,4,273.42627
1986-05-17,0,-266.30978
1986-05-17,1,-237.5078
1986-05-17,2,466.35913
1986-05-17,3,-251.70514
1986-05-17,4,-61.619003
1986-05-18,0,32.082653
1986-05-18,1,-441.89154
1986-05-18,2,431.8906
1986-05-18,3,-193.61357
1986-05-18,4,-218.28017
1986-05-19,0,126.990845
1986-05-19,1,-383.854
1986-05-19,2,339.3082
1986-05-19,3,-74.531944
1986-05-19,4,-391.51047
1986-05-20,0,46.1257
1986-05-20,1,-154.87158
1986-05-20,2,54.828777
1986-05-20,3,60.2125
1986-05-20,4,-571.5908
1986-05-21,0,17.86988
1986-05-21,1,287.9665
1986-05-21,2,-102.941895
1986-05-21,3,208.5351
1986-05-21,4,-685.8948
1986-05-22,0,60.366142
1986-05-22,1,596.867
1986-05-22,2,-15.52836
1986-05-22,3,48.84364
1986-05-22,4,-753.3493
1986-05-23,0,117.49664
1986-05-23,1,412.4425
1986-05-23,2,121.17946
1986-05-23,3,-199.72136
1986-05-23,4,-634.5024
1986-05-24,0,21.816769
1986-05-24,1,51.019688
1986-05-24,2,56.885586
1986-05-24,3,-198.86557
1986-05-24,4,-338.27853
1986-05-25,0,5.735786
1986-05-25,1,-572.5484
1986-05-25,2,-173.32695
1986-05-25,3,-243.64027
1986-05-25,4,-139.87115
1986-05-26,0,-67.176414
1986-05-26,1,-807.5597
1986-05-26,2,-304.40698
1986-05-26,3,-356.0429
1986-05-26,4,-308.13464
1986-05-27,0,-199.26376
1986-05-27,1,-672.9128
1986-05-27,2,-344.5804
1986-05-27,3,-518.36584
1986-05-27,4,-341.05746
1986-05-28,0,-117.26597
1986-05-28,1,-630.55054
1986-05-28,2,-340.40366
1986-05-28,3,-537.80884
1986-05-28,4,-78.86053
1986-05-29,0,-280.96295
1986-05-29,1,-843.846
1986-05-29,2,-484.31982
1986-05-29,3,-684.5142
1986-05-29,4,121.491066
1986-05-30,0,-149.50378
1986-05-30,1,-969.6966
1986-05-30,2,-434.4356
1986-05-30,3,-553.2693
1986-05-30,4,325.8566
1986-05-31,0,139.76506
1986-05-31,1,-868.10535
1986-05-31,2,-394.89755
1986-05-31,3,-469.68008
1986-05-31,4,444.2761
1986-06-01,0,257.53406
1986-06-01,1,-748.8665
1986-06-01,2,-254.59238
1986-06-01,3,-416.09726
1986-06-01,4,437.16306
1987-05-17,0,-204.1198
1987-05-17,1,-0.4765308
1987-05-17,2,-380.98434
1987-05-17,3,-221.2527
1987-05-17,4,271.00256
1987-05-18,0,-282.52704
1987-05-18,1,236.63445
1987-05-18,2,-79.49013
1987-05-18,3,-117.32721
1987-05-18,4,330.01666
1987-05-19,0,-273.5041
1987-05-19,1,551.74817
1987-05-19,2,-88.574265
1987-05-19,3,-149.74808
1987-05-19,4,183.63849
1987-05-20,0,-584.20526
1987-05-20,1,650.82556
1987-05-20,2,-0.6444102
1987-05-20,3,-379.25262
1987-05-20,4,105.46007
1987-05-21,0,-847.4545
1987-05-21,1,586.8884
1987-05-21,2,47.201397
1987-05-21,3,-451.03867
1987-05-21,4,42.076046
1987-05-22,0,-970.3135
1987-05-22,1,216.1021
1987-05-22,2,139.23442
1987-05-22,3,-119.507164
1987-05-22,4,50.60081
1987-05-23,0,-875.11523
1987-05-23,1,43.162678
1987-05-23,2,-42.19343
1987-05-23,3,79.412926
1987-05-23,4,261.8035
1987-05-24,0,-727.6285
1987-05-24,1,40.24068
1987-05-24,2,-31.84142
1987-05-24,3,-39.77159
1987-05-24,4,205.56847
1987-05-25,0,-712.49817
1987-05-25,1,268.17032
1987-05-25,2,83.95704
1987-05-25,3,-176.10669
1987-05-25,4,128.31143
1987-05-26,0,-918.4074
1987-05-26,1,590.5189
1987-05-26,2,233.46678
1987-05-26,3,-375.67953
1987-05-26,4,155.51599
1987-05-27,0,-1017.623
1987-05-27,1,445.58844
1987-05-27,2,274.4811
1987-05-27,3,-395.8988
1987-05-27,4,149.76755
1987-05-28,0,-1052.4409
1987-05-28,1,271.96887
1987-05-28,2,272.968
1987-05-28,3,-382.70538
1987-05-28,4,77.145294
1987-05-29,0,-949.56024
1987-05-29,1,45.139954
1987-05-29,2,180.95435
1987-05-29,3,-235.65242
1987-05-29,4,42.783367
1987-05-30,0,-889.6558
1987-05-30,1,-80.01069
1987-05-30,2,113.15343
